Survived,Pclass,Sex,AgeGroup,Parch,Fare,Embarked,Title
0,3,male,2,0,7.25,S,Mr
1,1,female,3,0,71.2833,C,Mrs
1,3,female,2,0,7.925,S,Miss
1,1,female,3,0,53.1,S,Mrs
0,3,male,3,0,8.05,S,Mr
0,1,male,4,0,51.8625,S,Mr
0,3,male,1,1,21.075,S,Master
1,3,female,2,2,11.1333,S,Mrs
1,2,female,1,0,30.0708,C,Mrs
1,3,female,1,1,16.7,S,Miss
1,1,female,4,0,26.55,S,Miss
0,3,male,2,0,8.05,S,Mr
0,3,male,3,5,31.275,S,Mr
0,3,female,1,0,7.8542,S,Miss
1,2,female,4,0,16,S,Mrs
0,3,male,1,1,29.125,Q,Master
0,3,female,3,0,18,S,Mrs
0,2,male,3,0,26,S,Mr
1,2,male,3,0,13,S,Mr
1,3,female,1,0,8.0292,Q,Miss
1,1,male,2,0,35.5,S,Mr
0,3,female,1,1,21.075,S,Miss
1,3,female,3,5,31.3875,S,Mrs
0,1,male,2,2,263,S,Mr
0,1,male,4,0,27.7208,C,Others
0,2,male,4,0,10.5,S,Mr
0,1,male,2,0,82.1708,C,Mr
0,1,male,4,0,52,S,Mr
0,3,male,2,0,8.05,S,Mr
0,3,female,2,0,18,S,Miss
1,3,female,1,0,11.2417,C,Miss
0,3,female,4,0,9.475,S,Mrs
0,2,female,2,0,21,S,Mrs
1,2,female,1,2,41.5792,C,Miss
1,3,female,2,0,7.8792,Q,Miss
0,3,female,2,0,17.8,S,Mrs
0,3,male,1,1,39.6875,S,Master
0,3,male,2,0,7.8,S,Mr
1,1,female,4,0,76.7292,C,Mrs
1,2,female,2,0,26,S,Mrs
0,1,male,4,1,61.9792,C,Mr
1,2,female,2,0,10.5,S,Miss
0,3,male,2,0,7.2292,C,Mr
1,2,female,1,2,27.75,S,Miss
0,3,male,1,2,46.9,S,Master
0,3,male,2,0,7.2292,C,Mr
1,1,female,3,0,80,S,Miss
0,1,male,4,0,83.475,S,Mr
0,3,male,1,2,27.9,S,Master
1,2,female,2,0,10.5,S,Mrs
0,3,male,2,0,8.1583,S,Mr
1,3,female,1,2,7.925,S,Miss
0,3,male,2,0,8.6625,S,Mr
0,2,male,3,0,10.5,S,Mr
0,3,female,1,2,46.9,S,Miss
0,2,male,2,0,73.5,S,Mr
0,3,male,2,0,14.4542,C,Mr
1,3,male,3,0,56.4958,S,Mr
0,3,male,2,0,7.65,S,Mr
1,2,male,1,2,29,S,Master
1,3,female,3,0,12.475,S,Miss
0,3,male,2,0,9,S,Mr
1,3,male,2,0,9.5,S,Mr
0,1,male,2,0,47.1,S,Mr
1,2,female,1,0,10.5,S,Miss
1,3,female,3,0,15.85,S,Mrs
0,3,male,1,3,34.375,S,Mr
1,1,female,2,2,263,S,Miss
0,3,male,2,0,8.05,S,Mr
0,3,male,2,0,8.05,S,Mr
0,3,male,2,0,7.8542,S,Mr
0,1,male,4,0,61.175,S,Mr
0,3,male,2,2,20.575,S,Mr
0,3,male,4,0,7.25,S,Mr
0,1,male,4,0,34.6542,C,Mr
1,1,male,2,1,63.3583,C,Mr
1,2,female,3,1,23,S,Mrs
0,2,male,3,0,26,S,Mr
0,3,female,2,0,7.8958,S,Miss
0,1,male,2,1,77.2875,S,Mr
0,3,male,3,0,8.6542,S,Mr
0,3,male,3,0,7.925,S,Mr
0,3,male,2,0,7.8958,S,Mr
1,3,female,2,0,7.65,S,Miss
0,3,male,3,0,7.8958,S,Mr
0,1,male,4,0,52,S,Mr
0,3,female,1,0,14.4542,C,Miss
0,3,male,2,0,8.05,S,Mr
0,3,female,2,0,9.825,S,Miss
0,3,female,1,0,14.4583,C,Miss
0,3,male,2,0,7.925,S,Mr
0,3,male,4,0,7.75,Q,Mr
0,2,male,2,0,21,S,Mr
0,1,male,2,1,247.5208,C,Mr
0,3,female,1,2,31.275,S,Miss
0,2,male,2,0,73.5,S,Mr
0,2,male,3,0,30.0708,C,Mr
1,2,female,3,0,13,S,Miss
0,1,male,4,1,77.2875,S,Mr
1,3,male,1,0,11.2417,C,Master
1,3,male,2,0,7.1417,S,Mr
0,3,male,4,0,6.975,S,Mr
0,3,male,3,0,7.8958,C,Mr
0,3,male,2,0,7.05,S,Mr
0,3,female,4,0,14.5,S,Mrs
1,2,female,2,0,26,S,Mrs
0,2,male,2,0,13,S,Mr
0,2,male,2,0,15.0458,C,Mr
1,1,female,2,2,26.2833,S,Miss
0,1,male,3,0,53.1,S,Mr
0,3,male,1,0,9.2167,S,Mr
0,1,male,2,0,79.2,C,Mr
1,3,female,2,0,7.75,S,Miss
1,3,female,2,0,15.85,S,Mrs
0,3,male,2,0,6.75,Q,Mr
0,2,male,2,0,11.5,S,Mr
0,2,male,2,1,36.75,S,Mr
1,3,male,2,0,7.7958,S,Mr
0,3,female,1,2,34.375,S,Miss
0,2,male,3,2,26,S,Mr
0,2,male,4,0,13,S,Others
0,2,male,4,0,12.525,S,Others
1,1,female,2,0,66.6,S,Mrs
0,3,male,4,0,8.05,S,Mr
0,3,male,4,2,14.5,S,Mr
0,1,male,4,1,61.3792,C,Mr
1,3,female,1,0,7.7333,Q,Miss
0,3,male,3,0,8.05,S,Mr
0,3,male,4,1,16.1,S,Mr
1,2,female,4,0,15.75,S,Mrs
0,3,male,2,0,7.775,S,Mr
0,3,male,1,0,8.6625,S,Mr
0,3,male,1,1,39.6875,S,Master
1,3,male,1,2,20.525,S,Master
0,3,female,4,4,27.9,S,Mrs
0,3,male,2,0,56.4958,S,Mr
0,1,male,4,0,33.5,S,Mr
0,3,male,1,1,29.125,Q,Master
1,3,female,1,1,11.1333,S,Miss
0,3,male,2,0,7.925,S,Mr
0,1,male,4,0,30.6958,C,Mr
0,3,male,2,1,7.8542,S,Mr
0,1,female,4,0,28.7125,C,Miss
0,2,male,3,0,13,S,Mr
0,3,male,3,0,0,S,Mr
0,3,male,1,2,31.3875,S,Master
1,2,male,1,1,39,S,Master
1,3,female,1,2,22.025,S,Miss
1,1,male,4,0,26.55,S,Mr
0,3,male,4,1,15.5,Q,Mr
0,3,male,3,0,7.8958,S,Mr
1,2,female,3,0,13,S,Mrs
0,2,male,2,0,13,S,Mr
1,3,female,2,0,7.8542,S,Miss
1,2,male,1,1,26,S,Master
1,1,female,4,0,27.7208,C,Mrs
1,1,female,4,0,146.5208,C,Miss
0,3,male,4,1,8.4042,S,Mr
0,2,female,2,0,13,S,Miss
0,3,male,2,0,9.5,S,Mr
0,3,male,3,0,6.4958,S,Mr
0,3,male,4,0,7.225,C,Mr
1,3,male,2,0,8.05,S,Mr
0,3,female,1,1,10.4625,S,Miss
0,3,male,3,0,15.85,S,Mr
1,3,male,2,0,18.7875,C,Mr
1,3,female,1,0,7.75,Q,Miss
1,1,male,4,0,31,C,Mr
0,3,male,2,0,7.05,S,Mr
1,2,female,3,0,21,S,Miss
0,3,male,2,0,7.25,S,Mr
0,2,male,3,0,13,S,Mr
1,1,female,3,0,113.275,C,Miss
1,3,female,2,0,7.925,S,Miss
0,2,male,4,0,27,S,Mr
1,1,female,3,0,76.2917,C,Miss
0,2,male,3,0,10.5,S,Mr
1,3,male,1,0,8.05,S,Mr
0,2,male,2,0,13,S,Mr
0,3,male,4,0,8.05,S,Mr
1,1,male,3,0,90,S,Mr
0,3,male,2,0,9.35,S,Mr
1,2,male,2,0,10.5,S,Mr
0,3,male,2,0,7.25,S,Mr
0,2,male,2,0,13,S,Mr
1,1,female,3,0,83.475,S,Mrs
0,3,male,2,0,7.775,S,Mr
0,2,male,4,0,13.5,S,Mr
1,3,female,1,2,31.3875,S,Miss
0,2,male,2,0,10.5,S,Mr
0,2,male,4,0,26,S,Mr
1,2,female,1,2,26.25,S,Miss
0,2,male,2,0,10.5,S,Mr
0,2,male,3,0,12.275,S,Mr
0,2,male,2,0,10.5,S,Mr
0,3,male,2,0,7.125,S,Mr
0,3,male,3,0,7.225,C,Mr
0,1,male,4,0,90,Q,Others
0,3,female,2,0,7.775,S,Miss
1,2,female,2,2,14.5,S,Mrs
1,1,male,3,1,52.5542,S,Mr
0,2,male,4,0,26,S,Others
0,3,female,2,1,10.4625,S,Mrs
0,1,male,4,0,26.55,S,Mr
0,3,male,3,0,16.1,S,Mr
0,3,female,4,2,20.2125,S,Mrs
1,3,female,2,2,15.2458,C,Mrs
1,1,female,3,0,86.5,S,Miss
1,1,female,3,0,512.3292,C,Miss
1,2,female,4,1,26,S,Mrs
1,3,male,1,2,31.3875,S,Master
0,1,male,4,1,79.65,S,Mr
0,1,male,4,0,0,S,Mr
0,2,male,3,0,10.5,S,Mr
0,3,male,1,1,39.6875,S,Mr
1,3,male,2,0,7.775,S,Mr
1,1,female,4,1,153.4625,S,Mrs
1,1,female,3,0,135.6333,S,Miss
1,3,male,2,0,0,S,Mr
1,2,female,4,1,19.5,S,Mrs
0,1,male,3,1,29.7,C,Mr
1,1,female,4,0,77.9583,S,Miss
0,3,female,4,0,7.75,S,Miss
0,3,male,1,1,29.125,Q,Master
1,3,female,3,1,20.25,S,Mrs
0,3,male,4,0,7.75,Q,Mr
0,3,male,2,0,7.8542,S,Mr
0,3,male,1,0,9.5,S,Mr
1,3,male,2,0,8.05,S,Mr
0,3,male,3,0,8.6625,C,Mr
1,3,male,3,0,9.5,S,Mr
0,3,male,2,0,7.8958,S,Mr
1,2,male,4,0,13,S,Mr
1,3,female,2,0,7.75,Q,Miss
1,1,female,2,0,78.85,S,Miss
1,1,female,2,0,91.0792,C,Mrs
0,2,male,3,0,12.875,C,Mr
0,3,female,2,0,8.85,S,Miss
0,3,male,2,0,7.8958,S,Mr
0,3,male,2,0,7.2292,C,Mr
0,1,female,1,2,151.55,S,Miss
1,1,female,4,1,247.5208,C,Mrs
0,3,male,2,0,0,S,Mr
1,1,male,1,2,151.55,S,Master
1,1,female,1,0,108.9,C,Mrs
0,2,male,3,0,24,C,Mr
1,1,female,3,0,56.9292,C,Miss
1,1,female,2,0,83.1583,C,Miss
1,1,female,2,2,262.375,C,Miss
0,2,female,2,1,26,S,Mrs
0,3,male,2,0,7.8958,S,Mr
0,2,male,4,1,26.25,S,Mr
1,3,female,2,0,7.8542,S,Miss
1,2,female,2,0,26,S,Mrs
0,2,male,4,0,14,S,Others
1,1,female,3,2,164.8667,S,Miss
1,1,female,4,1,134.5,C,Mrs
0,3,male,2,0,7.25,S,Mr
0,3,male,2,0,7.8958,S,Mr
1,2,female,3,0,12.35,Q,Miss
1,2,female,2,1,29,S,Mrs
1,1,female,3,0,135.6333,C,Miss
0,3,male,4,0,6.2375,S,Mr
1,2,female,3,0,13,S,Mrs
1,3,female,3,1,20.525,S,Mrs
1,1,female,1,1,57.9792,C,Miss
0,1,male,4,0,28.5,S,Mr
0,1,male,3,1,153.4625,S,Mr
0,3,male,1,0,18,S,Mr
0,1,male,2,0,66.6,S,Mr
1,1,female,4,0,134.5,C,Miss
1,3,male,4,0,8.05,S,Mr
0,1,male,4,0,35.5,S,Mr
1,2,male,1,1,26,S,Master
1,1,female,2,2,263,S,Miss
0,2,male,2,0,13,S,Mr
0,2,male,2,0,13,S,Mr
0,2,male,3,0,13,S,Mr
1,2,female,2,0,13,S,Miss
1,2,female,4,0,13,S,Miss
1,3,male,1,1,15.9,S,Master
0,3,male,4,0,8.6625,S,Mr
0,3,male,2,0,9.225,S,Mr
0,3,male,1,1,7.2292,C,Mr
0,3,male,2,0,17.8,S,Mr
0,3,male,2,0,9.5,S,Mr
1,1,female,2,1,55,S,Miss
0,2,female,3,0,13,S,Miss
0,3,male,4,4,27.9,S,Mr
0,2,male,2,0,27.7208,C,Mr
0,3,female,4,1,14.4542,C,Mrs
0,3,male,3,0,7.05,S,Mr
0,3,male,3,0,7.25,S,Mr
1,1,female,4,0,75.25,C,Mrs
1,1,female,2,0,69.3,C,Others
1,1,male,2,0,55.4417,C,Mr
0,3,male,2,0,6.4958,S,Mr
0,3,male,2,0,8.05,S,Mr
0,1,male,2,0,135.6333,C,Mr
0,3,female,1,1,21.075,S,Miss
1,3,female,2,0,7.25,S,Miss
0,1,male,2,2,211.5,C,Mr
0,3,male,2,0,4.0125,C,Mr
0,3,male,2,0,7.775,S,Mr
1,1,female,4,0,227.525,C,Miss
1,3,female,1,2,15.7417,C,Miss
0,3,male,3,0,7.925,S,Mr
1,1,female,3,0,52,S,Mrs
0,2,male,2,0,73.5,S,Mr
0,3,male,1,2,46.9,S,Master
1,2,female,3,0,13,S,Miss
1,2,female,1,0,12,C,Miss
1,1,male,3,2,120,S,Mr
1,3,male,2,0,7.7958,S,Mr
0,3,male,2,0,7.925,S,Mr
1,1,female,2,0,113.275,C,Miss
1,3,female,2,2,16.7,S,Mrs
0,3,male,2,0,7.7958,S,Mr
0,3,female,3,0,7.8542,S,Miss
0,2,male,4,0,26,S,Mr
0,2,male,2,0,10.5,S,Others
1,2,female,2,0,12.65,S,Mrs
1,3,male,3,0,7.925,S,Mr
0,3,male,2,0,8.05,S,Mr
0,3,female,2,0,9.825,S,Miss
0,3,male,2,0,15.85,S,Mr
0,3,female,2,0,8.6625,S,Miss
0,2,male,3,0,21,S,Mr
0,3,male,4,0,7.75,S,Mr
1,2,male,1,1,18.75,S,Master
0,3,male,2,0,7.775,S,Mr
1,1,female,3,0,90,Q,Miss
1,3,male,4,0,7.925,S,Mr
1,2,female,3,1,32.5,S,Mrs
1,2,female,2,2,13,S,Miss
0,2,male,3,0,13,S,Mr
0,3,female,1,2,24.15,S,Miss
0,3,male,2,0,7.7333,Q,Mr
0,3,male,2,0,7.875,S,Mr
0,3,female,2,1,14.4,S,Mrs
0,3,male,2,1,20.2125,S,Mr
1,2,female,2,0,26,S,Mrs
1,2,female,2,0,26,S,Miss
1,3,male,3,0,8.05,S,Mr
1,1,male,2,0,26.55,S,Mr
1,2,female,4,0,26,S,Mrs
0,3,male,1,0,7.125,S,Mr
0,1,male,4,0,55.9,S,Mr
1,1,female,1,2,120,S,Miss
0,3,female,2,2,34.375,S,Miss
1,2,female,2,3,18.75,S,Mrs
0,1,male,4,4,263,S,Mr
0,2,male,3,0,10.5,S,Mr
1,2,female,4,1,26.25,S,Mrs
0,3,male,2,0,9.5,S,Mr
0,3,male,2,0,7.775,S,Mr
1,2,female,2,0,13,S,Others
1,1,male,1,2,81.8583,S,Master
1,2,female,1,1,19.5,S,Miss
1,1,male,3,0,26.55,S,Mr
1,3,female,1,1,19.2583,C,Miss
1,1,male,4,0,30.5,S,Others
0,2,male,3,2,27.75,S,Mr
0,1,male,3,0,27.75,C,Mr
1,1,male,4,0,89.1042,C,Mr
1,3,male,2,0,7.8958,C,Mr
0,1,male,4,0,26.55,S,Mr
1,2,female,4,0,10.5,S,Miss
1,1,male,4,0,26.55,S,Mr
0,3,male,3,0,8.05,S,Mr
0,1,male,4,0,38.5,S,Mr
0,2,male,4,0,13,S,Mr
0,3,male,3,0,7.05,S,Mr
0,1,male,4,0,26.55,S,Mr
1,3,female,1,1,19.2583,C,Miss
0,3,male,3,0,8.6625,S,Mr
1,2,female,3,2,27.75,S,Mrs
1,2,female,2,0,13.7917,C,Mrs
0,3,female,2,0,9.8375,S,Miss
0,2,male,3,0,21,S,Mr
0,3,male,2,0,7.0458,S,Mr
0,3,male,2,0,7.5208,S,Mr
1,3,female,1,1,12.2875,S,Miss
0,3,male,1,2,46.9,S,Master
0,3,male,4,0,8.05,S,Mr
1,3,female,4,0,9.5875,S,Mrs
1,1,male,2,0,91.0792,C,Mr
1,1,female,3,0,90,S,Mrs
0,1,male,4,0,29.7,C,Mr
0,3,male,3,0,8.05,S,Mr
1,3,male,1,1,15.9,S,Master
0,3,male,2,0,7.25,S,Mr
0,1,male,4,0,30.5,S,Mr
0,1,male,4,0,49.5042,C,Mr
0,3,male,2,0,8.05,S,Mr
1,1,female,4,0,78.2667,C,Miss
0,1,female,2,2,151.55,S,Mrs
0,3,male,2,0,7.7958,S,Mr
0,3,male,1,0,8.6625,S,Mr
0,3,female,2,0,7.75,Q,Miss
0,3,female,3,0,9.5875,S,Miss
1,1,female,1,0,86.5,S,Miss
0,1,male,2,0,108.9,C,Mr
1,2,female,3,2,26,S,Mrs
0,3,male,2,0,22.525,S,Mr
1,3,male,2,0,56.4958,S,Mr
1,3,male,2,0,7.75,Q,Mr
1,1,male,3,0,26.2875,S,Mr
1,1,female,4,0,59.4,C,Mrs
0,3,male,2,0,7.4958,S,Mr
0,1,male,4,0,34.0208,S,Mr
1,2,female,3,0,10.5,S,Mrs
1,2,female,3,0,26,S,Mrs
0,3,male,3,0,7.8958,S,Mr
1,1,female,3,0,93.5,S,Miss
0,3,male,2,0,7.8958,S,Mr
1,1,female,4,1,57.9792,C,Mrs
0,3,male,4,0,7.75,Q,Mr
1,2,female,4,0,10.5,S,Miss
0,3,male,3,0,7.925,S,Mr
0,2,male,2,1,11.5,S,Mr
1,2,female,1,1,26,S,Miss
0,3,male,1,1,7.2292,C,Mr
0,3,female,3,0,8.6625,S,Miss
1,2,female,1,2,26.25,S,Miss
0,1,male,4,0,26.55,S,Others
1,1,female,3,0,106.425,C,Miss
1,1,female,2,2,49.5,C,Miss
1,1,female,3,2,71,S,Miss
0,3,female,1,2,31.275,S,Miss
0,3,female,1,2,31.275,S,Miss
1,2,male,3,0,26,S,Mr
0,1,male,4,0,106.425,C,Mr
0,1,male,4,0,26,S,Mr
1,2,female,2,0,26,S,Mrs
0,3,male,3,1,20.525,S,Mr
1,2,male,1,1,36.75,S,Master
1,1,male,1,2,110.8833,C,Mr
0,2,male,2,0,26,S,Mr
